Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Nea,Metohu,0,7,0,2,3,3,15,Honourable Mention,,120,81
Albania,ALB,ALB2,Hejli,Dedja,0,1,0,0,0,0,1,,,204,144
Albania,ALB,ALB3,Erida,Puka,1,0,0,0,0,0,1,,,204,144
Albania,ALB,ALB4,Alessia,Pepa,0,0,2,0,0,0,2,,,198,139
Australia,AUS,AUS1,Eunsu,Choi,7,7,7,7,5,4,37,Silver Medal,,27,
Australia,AUS,AUS2,Xiangyue (Laura),Nan,7,7,7,7,7,7,42,Gold Medal,,1,
Australia,AUS,AUS3,Cloris,Xu,7,7,7,7,7,3,38,Gold Medal,,18,
Australia,AUS,AUS4,Iris,Xu,7,7,7,7,7,3,38,Gold Medal,,18,
Azerbaijan,AZE,AZE1,Fidan,Garayeva,7,7,7,7,7,7,42,Gold Medal,,1,1
Azerbaijan,AZE,AZE2,Sevinj,Mahmudova,1,5,0,7,4,0,17,Bronze Medal,,109,72
Azerbaijan,AZE,AZE3,Safura,XXX,0,7,0,1,0,2,10,Honourable Mention,,140,93
Azerbaijan,AZE,AZE4,Fidan,Jafarli,1,2,0,7,3,2,15,Honourable Mention,,120,81
Belgium,BEL,BEL1,Sanae,Chakroune,7,1,0,6,0,0,14,Honourable Mention,,126,84
Belgium,BEL,BEL2,Saar,De Bus,0,1,0,2,0,0,3,,,187,132
Belgium,BEL,BEL3,Enya,Leroy,1,1,2,7,0,0,11,Honourable Mention,,135,91
Belgium,BEL,BEL4,Enya,Lindekens,0,2,0,1,0,0,3,,,187,132
Bangladesh,BGD,BGD1,Nujhat Ahmed,Disha,1,7,7,7,7,7,36,Silver Medal,,33,
Bangladesh,BGD,BGD2,Saniva Rakib,Soha,5,7,0,0,0,7,19,Bronze Medal,,97,
Bangladesh,BGD,BGD3,Afsana,Akter,6,0,0,3,3,5,17,Bronze Medal,,109,
Bangladesh,BGD,BGD4,Arifa,Alam,0,7,0,6,0,7,20,Bronze Medal,,90,
Bulgaria,BGR,BGR1,Bilyana,Dimitrova,7,7,2,7,7,7,37,Silver Medal,,27,14
Bulgaria,BGR,BGR2,Maria,Drencheva,7,7,7,7,7,7,42,Gold Medal,,1,1
Bulgaria,BGR,BGR3,Tsvetelina,Ilieva,7,7,2,0,7,7,30,Silver Medal,,50,33
Bulgaria,BGR,BGR4,Ivayla,Radkova,1,7,2,7,7,3,27,Bronze Medal,,63,42
Bosnia and Herzegovina,BIH,BIH1,Naida,Gavranović,7,7,7,7,4,1,33,Silver Medal,,42,26
Bosnia and Herzegovina,BIH,BIH2,Asja,Ćatić,6,7,7,2,6,7,35,Silver Medal,,36,20
Bosnia and Herzegovina,BIH,BIH3,Ilma,Čeljo,1,7,1,5,1,7,22,Bronze Medal,,80,52
Bosnia and Herzegovina,BIH,BIH4,Sara,Smajić,1,7,7,2,0,3,20,Bronze Medal,,90,60
Belarus,BLR,BLR1,Alena,Viartsinskaya,7,7,2,1,7,2,26,Bronze Medal,,65,43
