student_id,student_name,country,award,rank,us_rank,P1,P2,P3,P4,P5,P6,total,mcp_rank
1,Alexander Wang,United States of America,Gold medal,3,1,7,7,3,7,7,7,38,1
93,Jessica Wan,United States of America,Gold medal,5,2,7,7,5,7,7,2,35,2
118,Linus Tang,United States of America,Gold medal,14,3,7,7,3,7,7,1,32,3
170,Krishna Pothapragada,United States of America,Gold medal,19,4,7,6,2,7,7,2,31,4
96,Qiao Zhang,United States of America,Gold medal,47,5,7,7,0,5,7,3,29,5
89,Jordan Lefkowitz,United States of America,Silver medal,76,6,7,7,6,7,0,0,27,6
886,Warren Bei,Canada,Silver medal,76,,7,1,3,7,3,6,27,
92,Marvin Mao,Canada,Silver medal,100,,7,7,3,7,0,0,24,
621,Sebastian Chase,Hong Kong,Silver medal,147,,7,7,0,7,1,0,22,
426,Emily Ma,Canada,Bronze medal,182,,7,5,0,7,1,1,21,
605,Nirvana Rosabella Marrero Tiodang,Puerto Rico,Honourable mention,457,,7,0,0,1,1,0,9,
422,Ryan Bai,Canada,Silver medal,100,,7,1,0,7,7,2,24,
1145,Ming Yang,Canada,Silver medal,147,,7,7,0,7,0,1,22,
287,Siravit Hengsuvanich,Thailand,Honourable mention,366,,7,7,0,0,0,0,14,
