team_id,team_name,student_ids,state
1,TJ A,10|29,
2,Shanghai Starriver Bilingual School,380|1296|1297|1303|1317|6262,
3,Columbia Math Circle Team 1,614|1309,
4,NCSSM Alpha,12|219|309|740,
5,MOO,1006|1298|1316,
6,Columbia Math Circle Team 2,1299,
7,MoCoSwaggaSquad,31,
8,Keystone Academy of Beijing,1300,
9,McLean A,23|1301|1311,
10,NCSSM Beta,1302|1312|1313,
11,NCSSM Gamma,799,
12,DMV Math Circle,231|252|899|1314,
13,Cary Academy 1,210,
14,TJ B,221|1318|1319,
15,TJ C,870|1304|1320,
16,East Chapel Hill HS Team A,1305|1306|1307|6257,
17,BBMC-math Delta,1308,
18,Team,1310,
19,Cary Academy 2,1315,
20,TJ D,1321|1322,
21,CMC - Harold,391,
22,Chantilly A,1323,
23,Ardrey Kell A Team,1324|1325,
