Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Armela,Shahini,1,0,0,2,0,0,3,,,189,
Albania,ALB,ALB2,Sabrina,Alushi,0,0,0,0,0,0,0,,,212,
Albania,ALB,ALB3,Erlisa,Demneri,0,0,0,0,0,0,0,,,212,
Albania,ALB,ALB4,Nea,Metohu,0,0,1,6,0,0,7,,,169,
Australia,AUS,AUS1,Eunsu,Choi,7,4,7,7,5,1,31,Gold Medal,,15,
Australia,AUS,AUS2,Cloris,Xu,7,7,2,7,7,2,32,Gold Medal,,12,
Australia,AUS,AUS3,Iris,Xu,7,7,0,7,7,1,29,Gold Medal,,20,
Australia,AUS,AUS4,Grace Chang,Yuan,7,7,6,6,7,1,34,Gold Medal,,6,
Austria,AUT,AUT1,Doris,Obermaier,7,0,0,7,0,1,15,Bronze Medal,,106,
Austria,AUT,AUT2,Janina,Schneeweiss,6,0,0,2,1,1,10,,,145,
Azerbaijan,AZE,AZE1,Fidan,Garayeva,7,7,3,7,3,3,30,Gold Medal,,17,6
Azerbaijan,AZE,AZE2,Fidan,Jafarli,7,1,0,7,0,0,15,Bronze Medal,,106,60
Azerbaijan,AZE,AZE3,Safura,XXX,7,0,0,7,0,1,15,Bronze Medal,,106,60
Azerbaijan,AZE,AZE4,Sevinj,Mahmudova,7,0,0,0,1,1,9,Honourable Mention,,153,84
Belgium,BEL,BEL1,Anne,Cao,1,0,0,2,1,0,4,,,181,104
Belgium,BEL,BEL2,Dora,Chen,7,3,0,7,1,5,23,Silver Medal,,45,28
Belgium,BEL,BEL4,Lies,Sevenhant,1,0,1,1,2,1,6,,,176,99
Bangladesh,BGD,BGD1,Nujhat Ahmed,Disha,7,0,1,7,1,1,17,Bronze Medal,,85,
Bangladesh,BGD,BGD2,Rayan,Bintay Mostafa,7,2,0,6,0,1,16,Bronze Medal,,97,
Bangladesh,BGD,BGD3,Arifa,Alam,7,0,0,0,0,4,11,Honourable Mention,,138,
Bangladesh,BGD,BGD4,Afsana,Akter,7,0,1,5,0,0,13,Honourable Mention,,128,
Bulgaria,BGR,BGR1,Ivayla,Radkova,7,0,4,7,2,1,21,Bronze Medal,,56,33
Bulgaria,BGR,BGR2,Tsvetelina,Ilieva,7,7,3,7,1,2,27,Silver Medal,,28,13
Bulgaria,BGR,BGR3,Bilyana,Dimitrova,7,7,3,7,3,2,29,Gold Medal,,20,8
Bulgaria,BGR,BGR4,Kalina,Nikolova,7,7,0,7,3,1,25,Silver Medal,,35,20
Bosnia and Herzegovina,BIH,BIH1,Emira,Ibrahimović,7,7,1,7,5,3,30,Gold Medal,,17,6
Bosnia and Herzegovina,BIH,BIH2,Imana,Alibašić,7,0,0,7,2,0,16,Bronze Medal,,97,57
Bosnia and Herzegovina,BIH,BIH3,Naida,Gavranović,7,3,0,7,3,0,20,Bronze Medal,,64,39
