Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Klevisa,Zeqja,7,0,0,2,0,0,9,Honourable Mention,,161,94
Albania,ALB,ALB2,Denida,Balla,0,0,0,2,0,0,2,,,203,129
Albania,ALB,ALB3,Enada,Kanina,0,0,0,0,0,0,0,,,214,135
Armenia,ARM,ARM1,Kristina,Hayrapetyan,7,1,0,7,1,0,16,Bronze Medal,,97,57
Armenia,ARM,ARM2,Arpi,Prazyan,7,1,0,7,1,0,16,Bronze Medal,,97,57
Armenia,ARM,ARM3,Nare,Smbatyan,7,2,1,7,2,0,19,Bronze Medal,,66,36
Armenia,ARM,ARM4,Mane,Yeritsyan,7,2,0,7,2,0,18,Bronze Medal,,74,42
Australia,AUS,AUS1,Laura,Nan,6,7,1,7,5,3,29,Gold Medal,,14,
Australia,AUS,AUS2,Zihui,Zhang,7,7,1,7,1,0,23,Silver Medal,,42,
Australia,AUS,AUS3,Olivia,Sun,7,7,1,7,3,2,27,Gold Medal,,21,
Australia,AUS,AUS4,Amber,Li,7,7,1,7,7,7,36,Gold Medal,,4,
Belgium,BEL,BEL1,Litsa,Ceyssens,3,0,0,0,1,0,4,,,189,117
Belgium,BEL,BEL2,Anna,Huysmans,3,0,0,0,1,0,4,,,189,117
Belgium,BEL,BEL3,Laure-Line,Jouniaux,7,0,0,0,1,0,8,Honourable Mention,,168,101
Belgium,BEL,BEL4,Enya,Leroy,7,1,0,7,7,0,22,Silver Medal,,49,27
Bangladesh,BGD,BGD1,Saniva Rakib,Soha,2,0,3,7,0,0,12,Honourable Mention,,133,
Bangladesh,BGD,BGD2,Saaji,Sehnai,6,0,0,6,1,0,13,,,127,
Bangladesh,BGD,BGD3,Taslima Tasnim,Lamia,7,1,0,2,1,0,11,Honourable Mention,,147,
Bangladesh,BGD,BGD4,Nahian Parin,Ifa,2,0,0,2,0,0,4,,,189,
Bulgaria,BGR,BGR1,Maya,Minkova,7,1,0,7,1,0,16,Bronze Medal,,97,57
Bulgaria,BGR,BGR2,Yoana,Mladenova,7,0,0,3,2,0,12,Honourable Mention,,133,80
Bulgaria,BGR,BGR3,Adelina,Dorovska,7,7,0,7,5,0,26,Silver Medal,,28,14
Bulgaria,BGR,BGR4,Vanesa,Kalinkova,7,0,1,7,1,0,16,Bronze Medal,,97,57
Bosnia and Herzegovina,BIH,BIH1,Amila,Pašić,7,1,0,7,4,0,19,Bronze Medal,,66,36
Bosnia and Herzegovina,BIH,BIH2,Sara,Smajić,7,0,1,7,3,0,18,Bronze Medal,,74,42
Bosnia and Herzegovina,BIH,BIH3,Farah,Demirović,7,0,0,7,4,0,18,Bronze Medal,,74,42
Bosnia and Herzegovina,BIH,BIH4,Uma,Senta,5,0,0,7,0,0,12,Honourable Mention,,133,80
Brazil,BRA,BRA1,Alice,Schneider,6,5,1,7,1,1,21,Silver Medal,,59,
Brazil,BRA,BRA2,Ana Beatriz,Pazó,7,5,0,7,1,0,20,Silver Medal,,61,
Brazil,BRA,BRA3,Heloísa,Mysczak,4,0,0,7,0,0,11,Honourable Mention,,147,
Brazil,BRA,BRA4,Maria Clara,Fontes Silva,4,7,0,7,1,0,19,Bronze Medal,,66,
Canada,CAN,CAN1,Sophie,Zhang,6,7,2,7,2,0,24,Silver Medal,,37,
Canada,CAN,CAN2,Honjar,Xing,5,4,0,7,3,0,19,Bronze Medal,,66,
Canada,CAN,CAN3,Yingshan (Shanna),Xiao,7,1,0,7,1,0,16,Bronze Medal,,97,
Canada,CAN,CAN4,Yifan (Emma),Tang,7,7,0,7,1,0,22,Silver Medal,,49,
People's Republic of China,CHN,CHN1,Mingyi,Jiang,7,2,0,7,5,0,21,Silver Medal,,59,
People's Republic of China,CHN,CHN2,Yuqi,Lan,7,7,7,7,2,3,33,Gold Medal,,8,
People's Republic of China,CHN,CHN3,Yankuan,Liu,7,7,7,7,7,7,42,Gold Medal,,1,
People's Republic of China,CHN,CHN4,Yuxuan,Meng,7,7,7,7,7,3,38,Gold Medal,,2,
Cyprus,CYP,CYP2,Anna,Rouva,1,0,0,3,0,0,4,,,189,117
Cyprus,CYP,CYP4,Pegky,Tsilimidou,6,0,0,2,0,0,8,,,168,101
Czechia,CZE,CZE1,Tereza,Kubínová,7,0,0,5,1,0,13,Honourable Mention,,127,78
Czechia,CZE,CZE2,Veronika,Menšíková,7,2,0,6,5,2,22,Silver Medal,,49,27
Czechia,CZE,CZE3,Helena,Muchová,7,1,2,7,2,0,19,Bronze Medal,,66,36
Czechia,CZE,CZE4,Svatava,Šimečková,7,7,0,1,7,2,24,Silver Medal,,37,20
