team_id,team_name,student_ids,state
1,AlphaStar Academy AIR,81|90|99|118|122,California
2,AlphaStar Academy EARTH,21,California
3,AlphaStar Academy FIRE,9|25,California
4,BBMC-Math Delta,23|252,Maryland
5,Beijing Loong,53|55|100|106|109,China
6,Bergen County Academies Team 1,92,New Jersey
7,Bulgaria Mixed,154|420,Bulgaria
8,CA Minmus,406,California
9,Clever Operators,401|402,California
10,Colorado Mathletes,121,Colorado
11,Connecticut Cyborgs,86|89|399|425,Connecticut
12,Cougars B,105|405,California
13,DoraAIMEon,408|414,
14,Enloe Eagles,8,North Carolina
15,Exeter Red,3|27|62|73|142,New Hampshire
16,Florida Alligators,40|45|72|93|115|286,Florida
17,Florida Beaches,20|32|108,Florida
18,Hotchkiss Indigo,126,Connecticut
19,Individuals 1,127,
20,Individuals 4,95,
21,Individuals 6,96|123|398,
22,Individuals 7,113|117,
23,KGSEA Math Circle,403,Korea
24,Lehigh Valley Fire,1|57|91|103|132|300,New Jersey
25,Lehigh Valley Ice,407,New Jersey
26,Lexington Alpha,35|120|147|273|308|424,Massachusetts
27,MG VARNA A,114,Bulgaria
28,Mass ARML Stars,430,Massachusetts
29,Mathsyyds,111|124,China
30,Montgomery County Team 1,400,Maryland
31,Motown All-Stars,59|119|129|329,Michigan
32,Newton South Sines,423,Massachusetts
33,No Coast Best Coast,110|112|170,Illinois
34,Northfield Mount Hermon Math Club,417|419,Massachusetts
35,Ontario Math Circles,415|426,Ontario
36,Phillips Academy 1778,97|409|421,Massachusetts
37,Random Math Team Green,19|397,California
38,Redone,429,Massachusetts
39,Retro Salad,4|76,Utah
40,San Diego A1,2|98|116|413|422,California
41,San Diego A2,28|428,California
42,St. Mark's School of Texas Team M,404,Texas
43,Texas Momentum A,46|56|80,Texas
44,Texas Momentum C,13|213|229,Texas
45,Thomas Jefferson High School for Science and Technology A,10|201,Virginia
46,Tin Man,102|410|411|412,New York
47,Upstate New York Math Team,418,New York
48,WWP A,125|362,New Jersey
49,Washington Gold 1,107|138|205|325|427|638,Washington
50,Washington Gold 2,416,Washington
51,nnGu Rearranged,164|166,California
