Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Asia,Bedalli,1,0,0,0,0,0,1,,,236,153
Albania,ALB,ALB2,Erola,Mati,0,0,0,0,0,0,0,,,247,158
Albania,ALB,ALB3,Evia,Nezha,0,0,0,3,0,0,3,,,217,139
Albania,ALB,ALB4,Erika,Meçaj,0,0,0,0,0,0,0,,,247,158
Armenia,ARM,ARM1,Elen,Keshishyan,7,0,0,7,2,0,16,Bronze Medal,,77,44
Armenia,ARM,ARM2,Nare,Smbatyan,0,2,0,7,7,0,16,Bronze Medal,,77,44
Armenia,ARM,ARM3,Mane,Yeritsyan,1,0,0,7,0,0,8,Honourable Mention,,159,98
Armenia,ARM,ARM4,Mariam,Karagulyan,4,1,0,7,0,0,12,Bronze Medal,,107,66
Australia,AUS,AUS1,Amber,Li,7,5,4,5,7,0,28,Gold Medal,,8,
Australia,AUS,AUS2,Chuyu (Anna),Luo,7,3,1,3,2,0,16,Bronze Medal,,77,
Australia,AUS,AUS3,Christine,Ou,7,1,0,7,2,0,17,Bronze Medal,,70,
Australia,AUS,AUS4,Olivia,Sun,7,4,1,7,5,0,24,Gold Medal,,18,
Azerbaijan,AZE,AZE1,Leman,Nabiyeva,7,1,0,4,0,0,12,Bronze Medal,,107,66
Azerbaijan,AZE,AZE2,Zeynab,Umudlu,7,0,0,4,0,0,11,Bronze Medal,,117,73
Azerbaijan,AZE,AZE3,Zahra,Ibishova,1,0,0,4,2,0,7,,,173,106
Azerbaijan,AZE,AZE4,Gulay,Alizada,6,0,0,7,0,0,13,Bronze Medal,,102,64
Belgium,BEL,BEL1,Noa,Heremans,1,0,0,3,1,0,5,,,193,120
Belgium,BEL,BEL2,Anna,Huysmans,3,0,0,1,1,0,5,,,193,120
Belgium,BEL,BEL3,Kashika,Sinha,0,2,0,1,0,0,3,,,217,139
Belgium,BEL,BEL4,Wenxi,Zhou,1,0,0,2,1,0,4,,,202,128
Bangladesh,BGD,BGD1,Monamy,Zaman,7,2,0,7,2,0,18,Silver Medal,,58,
Bangladesh,BGD,BGD2,Krittika,Chakraborty,0,1,1,3,2,0,7,,,173,
Bangladesh,BGD,BGD3,Nahian Parin,Ifa,0,0,0,4,0,0,4,,,202,
Bangladesh,BGD,BGD4,Saaji,Sehnai,7,0,1,4,4,0,16,Bronze Medal,,77,
Bulgaria,BGR,BGR1,Yoana,Mladenova,7,3,2,1,4,0,17,Bronze Medal,,70,40
Bulgaria,BGR,BGR2,Adelina,Dorovska,7,7,0,7,0,0,21,Silver Medal,,36,19
Bulgaria,BGR,BGR3,Stanislava,Petrova,1,1,0,1,1,0,4,,,202,128
Bulgaria,BGR,BGR4,Yanilia,Terpo,4,0,0,2,1,0,7,,,173,106
Bosnia and Herzegovina,BIH,BIH1,Anja,Tešević,7,3,1,7,7,0,25,Gold Medal,,16,6
Bosnia and Herzegovina,BIH,BIH2,Amila,Pašić,1,3,1,2,1,0,8,,,159,98
Bosnia and Herzegovina,BIH,BIH3,Farah,Demirović,0,0,0,1,0,0,1,,,236,153
Bosnia and Herzegovina,BIH,BIH4,Ajla,Ćuprija,4,1,0,4,2,0,11,Bronze Medal,,117,73
Belarus,BLR,BLR1,Stefaniya,Shuturminskaya,7,3,0,1,1,0,12,Bronze Medal,,107,66
Belarus,BLR,BLR2,Aliaksandra,Sakharchuk,2,2,0,7,0,0,11,Bronze Medal,,117,73
Belarus,BLR,BLR3,Maryia,Narbina,7,3,1,2,1,0,14,Bronze Medal,,95,57
Belarus,BLR,BLR4,Yauheniya,Maslenikava,7,2,0,2,7,0,18,Silver Medal,,58,31
Brazil,BRA,BRA1,Maria Clara,Fontes,7,7,0,7,1,0,22,Silver Medal,,31,
Brazil,BRA,BRA2,Julia,Leguiza,7,1,1,7,7,0,23,Gold Medal,,24,
Brazil,BRA,BRA3,Heloísa,Mysczak,7,2,0,4,0,0,13,Bronze Medal,,102,
Brazil,BRA,BRA4,Maria Cecília,Ribeiro Pereira de Melo,1,0,0,7,0,0,8,Honourable Mention,,159,
Canada,CAN,CAN1,Cora,Cong,7,0,0,1,2,0,10,Honourable Mention,,129,
Canada,CAN,CAN2,Riley,Jin,0,0,0,1,0,0,1,,,236,
Canada,CAN,CAN3,Greta,Qu,4,7,0,7,1,0,19,Silver Medal,,48,
Canada,CAN,CAN4,Sophie,Zhang,7,5,0,7,7,0,26,Gold Medal,,10,
People's Republic of China,CHN,CHN1,Ziyu,Tang,7,7,7,7,7,1,36,Gold Medal,,2,
People's Republic of China,CHN,CHN2,Minqi,Xu,7,7,0,7,7,7,35,Gold Medal,,3,
People's Republic of China,CHN,CHN3,Yuke,Zhuo,7,7,6,7,7,1,35,Gold Medal,,3,
People's Republic of China,CHN,CHN4,Huaijin,Lou,7,7,7,7,7,7,42,Gold Medal,,1,
Colombia,COL,COL1,Maria José,Aristizabal,6,0,0,3,1,0,10,,,129,
Colombia,COL,COL2,Daniela,Estrada,1,1,0,0,0,0,2,,,225,
Colombia,COL,COL3,Sofía,González,3,0,0,5,3,0,11,Bronze Medal,,117,
Colombia,COL,COL4,Maria Juliana,Gómez,0,0,0,0,0,0,0,,,247,
Cyprus,CYP,CYP1,Anna,Rouva,0,0,0,3,0,0,3,,,217,139
Cyprus,CYP,CYP2,Polina,Varlamova,7,2,0,1,0,0,10,Honourable Mention,,129,81
Cyprus,CYP,CYP3,Ekaterina,Frolova,2,0,0,1,0,0,3,,,217,139
Cyprus,CYP,CYP4,Kira,Narovlianskaia,0,0,0,3,0,0,3,,,217,139
Czechia,CZE,CZE1,Tereza,Kubínová,7,3,0,1,0,0,11,Bronze Medal,,117,73
Czechia,CZE,CZE2,Veronika,Menšíková,2,6,0,7,3,0,18,Silver Medal,,58,31
Czechia,CZE,CZE3,Helena,Muchová,7,3,0,3,2,0,15,Bronze Medal,,90,53
Czechia,CZE,CZE4,Svatava,Šimečková,7,7,0,7,0,1,22,Silver Medal,,31,16
Denmark,DEN,DEN1,Emilie Marie,Nouard,2,0,0,2,0,0,4,,,202,128
Denmark,DEN,DEN2,Maria Rumenova,Maneva,2,0,0,5,0,0,7,,,173,106
Denmark,DEN,DEN3,Molly,Østergaard,6,0,0,1,0,0,7,,,173,106
